NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MIN,MAX,MED,AMEAN,GMEAN,STD,GSTATS_N,GSTATS_MIN,GSTATS_MAX,GSTATS_MED,GSTATS_AMEAN,GSTATS_GMEAN,GSTATS_STD,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,25,1818,1280,0.187375918,0.540115476,0.307727993,0.31463983,0.305954358,0.075336186,1280,0.186696291,0.540115058,0.304571271,0.31190735,0.303051631,0.07595733,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,20,511,511,0.200340033,0.378336012,0.285709828,0.284475131,0.282163583,0.036033718,511,0.189849347,0.374933332,0.280302674,0.278860466,0.276683761,0.034664123,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,21,314,314,0.159667805,0.414869308,0.312779278,0.310658199,0.305927185,0.051439046,314,0.157535493,0.410450459,0.305572271,0.304139123,0.299754786,0.048920141,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,13,734,729,0.308896899,0.615676463,0.436555207,0.445759057,0.441165016,0.064356973,729,0.301305681,0.614162683,0.430656403,0.440089027,0.435239379,0.06573225,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,14,669,669,0.098435886,0.503938735,0.26071468,0.26424547,0.248096495,0.090009485,669,0.092408419,0.479547262,0.239037648,0.250007433,0.233994285,0.088060616,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,11,804,803,0.163976192,0.601660252,0.257037759,0.268575448,0.262970853,0.059589608,803,0.162715673,0.600852847,0.252601773,0.262710434,0.257663512,0.056163732,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,10,598,526,0.168633386,1.253863573,0.538696051,0.524850901,0.507855495,0.131772534,526,0.168633386,1.253863573,0.533467233,0.51779117,0.499981964,0.133972092,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,12,252,239,0.167149156,0.708759665,0.339607298,0.352210461,0.345997305,0.068510286,239,0.167149171,0.708759665,0.334661603,0.347127156,0.340731626,0.069491165,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,17,295,211,0.311261982,0.695500433,0.472014338,0.477416491,0.471213018,0.077728072,211,0.292746663,0.695500433,0.468161255,0.472252752,0.465232755,0.081659895,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,18,307,228,0.266990513,0.546235263,0.37357533,0.380382039,0.376092672,0.057713686,228,0.259819418,0.546235263,0.36988607,0.375767165,0.371287484,0.058664233,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,24,24,3,0.450303882,0.526097894,0.46885097,0.481750915,0.480694358,0.039509359,3,0.450303882,0.526097894,0.46855399,0.481651922,0.480592842,0.039558184,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,15,482,482,0.151839569,0.446879536,0.312104136,0.301601394,0.292969732,0.069005285,482,0.151034623,0.435216844,0.304722339,0.294013933,0.28558308,0.067665018,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,16,581,581,0.249657705,0.670864165,0.432278335,0.447133317,0.439854069,0.082225333,581,0.248675644,0.668991685,0.422199488,0.438364985,0.43081997,0.083323536,,
M_199709-OCCCI-L3B4-PICO-BREWINSST_NES-STATS,L3B4,OCCCI,PICO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594995376,1595002203,ATLANTIS_NEUS,2,1516,1516,0.076615095,0.091499932,0.0882378,0.088059779,0.088042378,0.001736614,1516,0.074457623,0.091330953,0.088221222,0.088032746,0.088014621,0.001770445,,
M_199709-OCCCI-L3B4-PICO-BREWINSST_NES-STATS,L3B4,OCCCI,PICO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594995376,1595002203,ATLANTIS_NEUS,3,772,772,0.076952823,0.08988215,0.085069545,0.085004248,0.08497335,0.00228116,772,0.076429822,0.089875437,0.084999628,0.084937734,0.084906208,0.002303644,,
M_199709-OCCCI-L3B4-PICO-BREWINSST_NES-STATS,L3B4,OCCCI,PICO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594995376,1595002203,ATLANTIS_NEUS,0,673,418,0.055927232,0.398348033,0.090719447,0.08856758,0.086907266,0.023780789,418,0.055704076,0.398348033,0.090719029,0.088229906,0.086651978,0.022844522,,
M_199709-OCCCI-L3B4-PICO-BREWINSST_NES-STATS,L3B4,OCCCI,PICO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594995376,1595002203,ATLANTIS_NEUS,1,684,678,0.082999609,0.317261338,0.089599952,0.090353849,0.089926458,0.012082957,678,0.082999602,0.316562891,0.089586601,0.090162939,0.089808696,0.01105474,,
